Week,Price
2013-06-21,3.87
2013-06-28,3.72
2013-07-05,3.54
2013-07-12,3.66
2013-07-19,3.69
2013-07-26,3.67
2013-08-02,3.45
2013-08-09,3.32
2013-08-16,3.35
2013-08-23,3.49
2013-08-30,3.55
2013-09-06,3.64
2013-09-13,3.61
2013-09-20,3.71
2013-09-27,3.55
2013-10-04,3.56
2013-10-11,3.7
2013-10-18,3.79
2013-10-25,3.69
2013-11-01,3.55
2013-11-08,3.47
2013-11-15,3.62
2013-11-22,3.68
2013-11-29,3.87
2013-12-06,3.94
2013-12-13,4.31
2013-12-20,4.25
2013-12-27,4.45
2014-01-03,4.36
2014-01-10,4.31
2014-01-17,4.39
2014-01-24,5.08
2014-01-31,5.29
2014-02-07,6.35
2014-02-14,6.55
2014-02-21,6
2014-02-28,5.1
2014-03-07,6.24
2014-03-14,4.58
2014-03-21,4.43
2014-03-28,4.46
2014-04-04,4.45
2014-04-11,4.63
2014-04-18,4.65
2014-04-25,4.8
2014-05-02,4.76
2014-05-09,4.74
2014-05-16,4.46
2014-05-23,4.52
2014-05-30,4.52
2014-06-06,4.61
2014-06-13,4.61
2014-06-20,4.66
2014-06-27,4.52
2014-07-04,4.41
2014-07-11,4.19
2014-07-18,4.11
2014-07-25,3.84
2014-08-01,3.79
2014-08-08,3.92
2014-08-15,3.9
2014-08-22,3.85
2014-08-29,4.01
2014-09-05,3.93
2014-09-12,3.91
2014-09-19,3.95
2014-09-26,3.88
2014-10-03,4.02
2014-10-10,3.87
2014-10-17,3.82
2014-10-24,3.63
2014-10-31,3.65
2014-11-07,3.83
2014-11-14,4.16
2014-11-21,4.34
2014-11-28,4.16
2014-12-05,3.75
2014-12-12,3.66
2014-12-19,3.69
2014-12-26,2.94
2015-01-02,3.09
2015-01-09,3.03
2015-01-16,3.08
2015-01-23,2.95
2015-01-30,2.91
2015-02-06,2.72
2015-02-13,2.75
2015-02-20,2.9
2015-02-27,3.13
2015-03-06,3.04
2015-03-13,2.76
2015-03-20,2.8
2015-03-27,2.79
2015-04-03,2.64
2015-04-10,2.67
2015-04-17,2.61
2015-04-24,2.6
2015-05-01,2.57
2015-05-08,2.75
2015-05-15,2.88
2015-05-22,2.99
2015-05-29,2.8
2015-06-05,2.65
2015-06-12,2.78
2015-06-19,2.9
2015-06-26,2.8
2015-07-03,2.79
2015-07-10,2.75
2015-07-17,2.89
2015-07-24,2.88
2015-07-31,2.87
2015-08-07,2.8
2015-08-14,2.88
2015-08-21,2.75
2015-08-28,2.69
2015-09-04,2.69
2015-09-11,2.7
2015-09-18,2.7
2015-09-25,2.61
2015-10-02,2.49
2015-10-09,2.38
2015-10-16,2.48
2015-10-23,2.38
2015-10-30,2.12
2015-11-06,2.02
2015-11-13,2.11
2015-11-20,2.09
2015-11-27,2.15
2015-12-04,2.13
2015-12-11,1.96
2015-12-18,1.72
2015-12-25,1.68
2016-01-01,2.27
2016-01-08,2.38
2016-01-15,2.32
2016-01-22,2.2
2016-01-29,2.22
2016-02-05,2.11
2016-02-12,2.16
2016-02-19,1.94
2016-02-26,1.82
2016-03-04,1.57
2016-03-11,1.64
2016-03-18,1.79
2016-03-25,1.79
2016-04-01,1.86
2016-04-08,1.96
2016-04-15,1.9
2016-04-22,1.91
2016-04-29,1.92
2016-05-06,1.96
2016-05-13,2
2016-05-20,1.89
2016-05-27,1.84
2016-06-03,2.15
2016-06-10,2.36
2016-06-17,2.59
2016-06-24,2.75
2016-07-01,2.89
2016-07-08,2.82
2016-07-15,2.81
2016-07-22,2.79
2016-07-29,2.85
2016-08-05,2.88
2016-08-12,2.77
2016-08-19,2.73
2016-08-26,2.82
2016-09-02,2.94
2016-09-09,2.87
2016-09-16,3.02
2016-09-23,3.11
2016-09-30,3.01
2016-10-07,2.91
2016-10-14,3.17
2016-10-21,3.14
2016-10-28,2.72
2016-11-04,2.5
2016-11-11,2.22
2016-11-18,2.44
2016-11-25,2.76
2016-12-02,3.21
2016-12-09,3.69
2016-12-16,3.57
2016-12-23,3.51
2016-12-30,3.69
2017-01-06,3.47
2017-01-13,3.27
2017-01-20,3.29
2017-01-27,3.27
2017-02-03,3.12
2017-02-10,3.04
2017-02-17,2.87
2017-02-24,2.62
2017-03-03,2.52
2017-03-10,2.75
2017-03-17,2.96
2017-03-24,2.99
2017-03-31,3.03
2017-04-07,3.18
2017-04-14,3.05
2017-04-21,3.1
2017-04-28,3.09
2017-05-05,3.14
2017-05-12,3.12
2017-05-19,3.21
2017-05-26,3.18
2017-06-02,3.03
2017-06-09,2.98
2017-06-16,3.03
2017-06-23,2.89
2017-06-30,3.01
2017-07-07,2.95
2017-07-14,2.96
2017-07-21,3.09
2017-07-28,2.96
2017-08-04,2.8
2017-08-11,2.85
2017-08-18,2.95
2017-08-25,2.97
2017-09-01,2.93
2017-09-08,2.91
2017-09-15,2.96
2017-09-22,3.09
2017-09-29,2.96
2017-10-06,2.84
2017-10-13,2.92
2017-10-20,2.84
2017-10-27,2.91
2017-11-03,2.78
2017-11-10,3.12
2017-11-17,3.1
2017-11-24,3.05
2017-12-01,2.94
2017-12-08,2.84
2017-12-15,2.77
2017-12-22,2.69
2017-12-29,3.03
2018-01-05,5.71
2018-01-12,3.24
2018-01-19,4.12
2018-01-26,3.43
2018-02-02,3.3
2018-02-09,2.75
2018-02-16,2.54
2018-02-23,2.62
2018-03-02,2.64
2018-03-09,2.74
2018-03-16,2.71
2018-03-23,2.66
2018-03-30,2.67
2018-04-06,2.79
2018-04-13,2.78
2018-04-20,2.83
2018-04-27,2.8
2018-05-04,2.75
2018-05-11,2.76
2018-05-18,2.8
2018-05-25,2.83
2018-06-01,2.88
2018-06-08,2.92
2018-06-15,2.99
2018-06-22,2.99
2018-06-29,2.98
2018-07-06,2.91
2018-07-13,2.89
2018-07-20,2.78
2018-07-27,2.79
2018-08-03,2.8
2018-08-10,2.96
2018-08-17,3
2018-08-24,3.01
2018-08-31,2.97
2018-09-07,2.94
2018-09-14,2.93
2018-09-21,3.03
2018-09-28,3.06
2018-10-05,3.23
2018-10-12,3.3
2018-10-19,3.26
2018-10-26,3.32
2018-11-02,3.28
2018-11-09,3.58
2018-11-16,4.23
2018-11-23,4.67
2018-11-30,4.43
2018-12-07,4.49
2018-12-14,4.38
2018-12-21,3.73
2018-12-28,3.26
2019-01-04,2.92
2019-01-11,2.89
2019-01-18,3.5
2019-01-25,3.19
2019-02-01,2.9
2019-02-08,2.59
2019-02-15,2.65
2019-02-22,2.71
2019-03-01,2.91
2019-03-08,3.28
2019-03-15,2.89
2019-03-22,2.86
2019-03-29,2.71
2019-04-05,2.7
2019-04-12,2.72
2019-04-19,2.62
2019-04-26,2.56
2019-05-03,2.59
2019-05-10,2.6
2019-05-17,2.67
2019-05-24,2.66
2019-05-31,2.66
2019-06-07,2.45
2019-06-14,2.41
2019-06-21,2.4
2019-06-28,2.34
2019-07-05,2.31
2019-07-12,2.47
2019-07-19,2.44
2019-07-26,2.3
2019-08-02,2.24
2019-08-09,2.11
2019-08-16,2.21
2019-08-23,2.27
2019-08-30,2.28
2019-09-06,2.46
2019-09-13,2.64
2019-09-20,2.63
2019-09-27,2.52
2019-10-04,2.33
2019-10-11,2.26
2019-10-18,2.25
2019-10-25,2.25
2019-11-01,2.62
2019-11-08,2.82
2019-11-15,2.73
2019-11-22,2.58
2019-11-29,2.49
2019-12-06,2.38
2019-12-13,2.24
2019-12-20,2.28
2019-12-27,2.03
2020-01-03,2.05
2020-01-10,2.09
2020-01-17,2.06
2020-01-24,1.93
2020-01-31,1.95
2020-02-07,1.89
2020-02-14,1.9
2020-02-21,2
2020-02-28,1.88
2020-03-06,1.8
2020-03-13,1.86
2020-03-20,1.82
2020-03-27,1.74
2020-04-03,1.63
2020-04-10,1.77
2020-04-17,1.72
2020-04-24,1.85
2020-05-01,1.71
2020-05-08,1.84
2020-05-15,1.63
2020-05-22,1.78
2020-05-29,1.76
2020-06-05,1.7
2020-06-12,1.7
2020-06-19,1.52
2020-06-26,1.57
2020-07-03,1.71
2020-07-10,1.78
2020-07-17,1.77
2020-07-24,1.72
2020-07-31,1.82
2020-08-07,2.13
